site,lat,lon,HR_NAME
9524000,32.7767123,-114.6355087,Colorado River
9524500,32.7750457,-114.6341198,Colorado River
9524700,32.73408333,-114.6230556,Colorado River
9525000,32.7333801,-114.623008,Colorado River
9526200,32.76837927,-114.6555093,Colorado River
9526500,32.75004657,-114.706344,Colorado River
9527000,32.737547,-114.7163443,Colorado River
9527500,32.73532488,-114.7238446,Colorado River
9527590,32.71416667,-114.9438889,Colorado River
9527594,33.2562222,-115.4511667,Colorado River
9527597,33.53808109,-115.9186083,Colorado River
9527600,32.70532655,-114.968023,Colorado River
9527630,32.7094932,-115.0254425,Colorado River
9527660,32.70557669,-115.0344429,Colorado River
9527700,32.70425,-115.0481139,Colorado River
9529600,32.81559999,-114.5477283,Colorado River
9529700,32.80421147,-114.5763403,Colorado River
9529800,32.79643395,-114.5985632,Colorado River
9529900,32.7747679,-114.6335642,Colorado River
9530000,32.73726888,-114.621897,Colorado River
9530400,32.7564352,-114.6860657,Colorado River
9530500,32.74615776,-114.6943992,Colorado River
10253080,34.55000359,-115.1077524,Colorado River
10253320,34.11778404,-116.3083436,Colorado River
10253350,34.12000347,-116.0961148,Colorado River
10253540,33.62502237,-115.3230362,Colorado River
10253600,33.862791,-115.5102636,Colorado River
10254050,33.44697395,-115.8433289,Colorado River
10254670,33.10444444,-115.5441667,Colorado River
10254730,33.19892768,-115.5969343,Colorado River
10254970,32.6658925,-115.5030501,Colorado River
10255200,32.6736725,-116.0814039,Colorado River
10255550,33.10476565,-115.6644382,Colorado River
10255700,33.11865416,-116.4352927,Colorado River
10255800,33.3736453,-116.4275137,Colorado River
10255805,33.36503449,-116.41668,Colorado River
10255810,33.27916667,-116.4305556,Colorado River
10255820,33.1472647,-116.3508454,Colorado River
10255850,32.9861588,-116.4202931,Colorado River
10255885,33.1239345,-115.8530559,Colorado River
10255890,34.0628333,-116.808361,Colorado River
10255895,34.0623333,-116.819111,Colorado River
10255897,34.06194444,-116.818861,Colorado River
10255900,34.0607833,-116.8190167,Colorado River
10256000,33.9466806,-116.6408473,Colorado River
10256050,33.94556955,-116.6411251,Colorado River
10256060,33.92529248,-116.6361254,Colorado River
10256200,33.9983474,-116.9089118,Colorado River
10256300,33.93112638,-116.827797,Colorado River
10256400,33.91888889,-116.6977778,Colorado River
10256500,33.8705722,-116.681127,Colorado River
10256501,33.8705722,-116.681127,Colorado River
10256550,33.8705722,-116.681127,Colorado River
10257499,33.86946114,-116.6716824,Colorado River
10257500,33.86946114,-116.6716824,Colorado River
10257501,33.86946114,-116.6716824,Colorado River
10257548,33.8989045,-116.6211256,Colorado River
10257549,33.8989045,-116.6211256,Colorado River
10257550,33.8989045,-116.6211256,Colorado River
10257600,33.9961722,-116.5960083,Colorado River
10257710,33.8391845,-116.6133486,Colorado River
10257720,33.84385,-116.6058083,Colorado River
10257800,33.9647345,-116.4438997,Colorado River
10258000,33.80501929,-116.5591816,Colorado River
10258030,33.81085244,-116.5436257,Colorado River
